tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Domingo-26/9/2020  12:02:22,30.68,93690.74,656,18,0,0,0,27,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:24,30.73,93696.03,655,76,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:25,30.77,93692.37,656,13,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:27,30.82,93689.19,656,39,0,0,0,27,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:29,30.84,93692.30,656,46,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:30,30.88,93691.77,656,14,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:32,30.92,93693.85,656,20,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:34,30.96,93693.28,656,21,0,0,0,27,49.00,Temp: ,0.62
Domingo-26/9/2020  12:02:36,31.00,93691.53,656,28,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:37,31.04,93691.19,656,14,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:39,31.09,93695.25,656,35,0,0,0,27,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:41,31.10,93692.58,656,82,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:43,31.13,93691.13,656,83,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:44,31.14,93692.55,656,83,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:46,31.17,93688.33,656,83,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:48,31.19,93695.11,656,83,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:49,31.21,93689.07,656,82,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:51,31.24,93687.75,656,83,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:53,31.28,93684.43,656,82,0,0,0,29,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:55,31.31,93686.28,656,83,0,0,0,28,48.00,Temp: ,-1
Domingo-26/9/2020  12:02:56,31.32,93683.61,657,82,0,0,0,29,48.00,Temp: ,-1
Domingo-26/9/2020  12:02:58,31.35,93684.09,657,83,0,0,0,29,48.00,Temp: ,-1
Domingo-26/9/2020  12:03:00,31.38,93683.28,657,83,0,0,0,28,48.00,Temp: ,-1
Domingo-26/9/2020  12:03:01,31.42,93686.35,656,83,0,0,0,30,48.00,Temp: ,-1
Domingo-26/9/2020  12:03:03,31.44,93683.80,657,83,0,0,0,29,48.00,Temp: ,-1
Domingo-26/9/2020  12:03:05,31.47,93683.57,657,83,0,0,0,28,47.00,Temp: ,0.62
Domingo-26/9/2020  12:03:07,31.51,93682.98,657,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:08,31.56,93686.21,656,83,0,0,0,28,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:10,31.59,93684.39,656,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:12,31.63,93684.75,656,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:13,31.67,93684.36,656,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:15,31.70,93685.83,656,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:17,31.73,93686.86,656,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:19,31.76,93683.98,657,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:20,31.79,93685.27,656,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:22,31.83,93681.77,657,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:24,31.86,93684.32,656,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:25,31.89,93683.50,657,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:27,31.92,93684.27,656,83,0,0,0,30,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:29,31.95,93681.07,657,82,0,0,0,30,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:31,31.98,93681.17,657,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:32,32.03,93685.71,656,82,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:34,32.05,93682.08,657,82,0,0,0,28,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:36,32.08,93676.50,657,82,0,0,0,29,47.00,Temp: ,0.62
Domingo-26/9/2020  12:03:37,32.12,93677.14,657,83,0,0,0,30,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:39,32.16,93677.01,657,82,0,0,0,28,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:41,32.20,93680.11,657,83,0,0,0,28,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:43,32.24,93677.50,657,82,0,0,0,30,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:44,32.27,93679.24,657,83,0,0,0,29,47.00,Temp: ,-1
Domingo-26/9/2020  12:03:46,32.30,93678.32,657,82,0,0,0,29,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:48,32.33,93678.70,657,83,0,0,0,29,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:49,32.37,93681.66,657,83,0,0,0,29,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:51,32.39,93680.67,657,83,0,0,0,30,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:53,32.42,93678.63,657,83,0,0,0,28,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:55,32.47,93681.67,657,83,0,0,0,29,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:56,32.51,93683.34,657,82,0,0,0,30,46.00,Temp: ,-1
Domingo-26/9/2020  12:03:58,32.54,93675.78,657,83,0,0,0,30,46.00,Temp: ,-1
Domingo-26/9/2020  12:04:00,32.56,93677.92,657,82,0,0,0,29,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:01,32.60,93677.17,657,83,0,0,0,29,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:03,32.62,93677.72,657,82,0,0,0,30,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:05,32.65,93677.25,657,83,0,0,0,28,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:07,32.69,93675.80,657,82,0,0,0,30,45.00,Temp: ,0.62
Domingo-26/9/2020  12:04:08,32.73,93679.67,657,83,0,0,0,28,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:10,32.75,93676.16,657,82,0,0,0,30,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:12,32.79,93677.53,657,83,0,0,0,29,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:13,32.83,93679.89,657,82,0,0,0,30,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:15,32.87,93679.35,657,82,0,0,0,29,45.00,Temp: ,-1
Domingo-26/9/2020  12:04:17,32.91,93677.57,657,32,0,0,0,29,44.00,Temp: ,-1
Domingo-26/9/2020  12:04:19,32.92,93677.91,657,48,0,0,0,29,44.00,Temp: ,-1
Domingo-26/9/2020  12:04:20,32.97,93683.66,657,81,0,0,0,30,44.00,Temp: ,-1
Domingo-26/9/2020  12:04:22,33.01,93678.32,657,79,0,0,0,29,44.00,Temp: ,-1
