tempo, temp  ,pressao,altitude,luz,gas1,gas2,gas3,Air,umidade,temp,poeira
Terça-29/9/2020  12:02:27,39.32,93890.46,638,54612,0,0,0,36,40.00,Temp: ,-1
Terça-29/9/2020  12:02:29,39.52,93887.49,638,54612,0,0,0,37,40.00,Temp: ,-1
Terça-29/9/2020  12:02:30,39.69,93884.44,639,54612,0,0,0,36,40.00,Temp: ,-1
Terça-29/9/2020  12:02:32,39.86,93885.42,639,54612,0,0,0,37,40.00,Temp: ,-1
Terça-29/9/2020  12:02:34,40.02,93885.47,639,54612,0,0,0,35,39.00,Temp: ,0.62
Terça-29/9/2020  12:02:36,40.21,93885.13,639,54612,0,0,0,36,39.00,Temp: ,-1
Terça-29/9/2020  12:02:37,40.35,93881.05,639,54612,0,0,0,36,39.00,Temp: ,-1
Terça-29/9/2020  12:02:39,40.44,93882.97,639,54612,0,0,0,37,39.00,Temp: ,-1
Terça-29/9/2020  12:02:41,40.58,93880.22,639,54612,0,0,0,37,38.00,Temp: ,-1
Terça-29/9/2020  12:02:43,40.68,93880.77,639,54612,0,0,0,37,38.00,Temp: ,-1
Terça-29/9/2020  12:02:44,40.81,93878.15,639,54612,0,0,0,36,37.00,Temp: ,-1
Terça-29/9/2020  12:02:46,41.00,93883.37,639,54612,0,0,0,39,37.00,Temp: ,-1
Terça-29/9/2020  12:02:48,41.11,93883.08,639,54612,0,0,0,37,38.00,Temp: ,-1
Terça-29/9/2020  12:02:49,41.18,93886.11,639,54612,0,0,0,37,38.00,Temp: ,-1
Terça-29/9/2020  12:02:51,41.32,93882.64,639,54612,0,0,0,36,37.00,Temp: ,-1
Terça-29/9/2020  12:02:53,41.38,93883.28,639,54612,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:02:55,41.41,93878.85,639,54612,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:02:56,41.32,93846.86,642,8770,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:02:58,41.15,93842.14,643,7136,0,0,0,36,36.00,Temp: ,-1
Terça-29/9/2020  12:03:00,40.97,93847.66,642,54612,0,0,0,37,36.00,Temp: ,-1
Terça-29/9/2020  12:03:01,40.97,93886.55,639,54612,0,0,0,36,36.00,Temp: ,-1
Terça-29/9/2020  12:03:03,41.24,93885.50,639,54612,0,0,0,36,36.00,Temp: ,-1
Terça-29/9/2020  12:03:05,41.40,93883.73,639,54612,0,0,0,37,36.00,Temp: ,0.62
Terça-29/9/2020  12:03:07,41.58,93884.86,639,54612,0,0,0,37,36.00,Temp: ,-1
Terça-29/9/2020  12:03:08,41.81,93885.97,639,54612,0,0,0,38,36.00,Temp: ,-1
Terça-29/9/2020  12:03:10,42.07,93888.35,638,54612,0,0,0,37,36.00,Temp: ,-1
Terça-29/9/2020  12:03:12,42.15,93874.88,639,54612,0,0,0,37,36.00,Temp: ,-1
Terça-29/9/2020  12:03:13,42.35,93882.17,639,54612,0,0,0,37,36.00,Temp: ,-1
Terça-29/9/2020  12:03:15,42.59,93880.31,639,54612,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:03:17,42.73,93881.52,639,54612,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:03:19,42.91,93881.47,639,54612,0,0,0,36,37.00,Temp: ,-1
Terça-29/9/2020  12:03:20,42.89,93881.55,639,54612,0,0,0,37,37.00,Temp: ,-1
Terça-29/9/2020  12:03:22,43.05,93876.10,639,54612,0,0,0,38,36.00,Temp: ,-1
Terça-29/9/2020  12:03:24,43.19,93876.42,639,54612,0,0,0,38,36.00,Temp: ,-1
Terça-29/9/2020  12:03:25,43.37,93878.25,639,54612,0,0,0,38,35.00,Temp: ,-1
Terça-29/9/2020  12:03:27,43.47,93875.17,640,54612,0,0,0,38,35.00,Temp: ,-1
Terça-29/9/2020  12:03:29,43.63,93876.22,639,54612,0,0,0,38,35.00,Temp: ,-1
Terça-29/9/2020  12:03:31,43.79,93881.50,639,54612,1,0,0,38,35.00,Temp: ,-1
Terça-29/9/2020  12:03:32,43.95,93881.11,639,54612,0,0,0,38,35.00,Temp: ,-1
Terça-29/9/2020  12:03:34,44.19,93882.29,639,54612,0,0,0,37,35.00,Temp: ,-1
Terça-29/9/2020  12:03:36,44.29,93880.07,639,54612,0,0,0,38,34.00,Temp: ,0.62
Terça-29/9/2020  12:03:37,44.48,93880.96,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:39,44.48,93885.53,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:41,44.23,93837.57,643,10140,0,0,0,39,34.00,Temp: ,-1
Terça-29/9/2020  12:03:43,44.05,93838.75,643,9325,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:03:44,43.86,93838.30,643,8678,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:03:46,43.68,93842.16,643,8725,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:48,43.60,93842.50,642,11828,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:49,43.57,93884.92,639,54612,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:03:51,43.58,93838.72,643,9771,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:53,43.48,93836.74,643,10124,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:55,43.43,93884.85,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:56,43.74,93885.32,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:03:58,43.95,93887.08,639,54612,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:04:00,44.05,93886.10,639,54612,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:04:01,44.24,93884.94,638,54612,0,0,0,37,34.00,Temp: ,-1
Terça-29/9/2020  12:04:03,44.47,93884.96,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:04:05,44.58,93883.49,639,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:04:07,44.70,93885.72,639,54612,0,0,0,38,34.00,Temp: ,0.62
Terça-29/9/2020  12:04:08,44.89,93887.74,638,54612,0,0,0,38,34.00,Temp: ,-1
Terça-29/9/2020  12:04:10,45.09,93891.62,638,54612,0,0,0,38,33.00,Temp: ,-1
Terça-29/9/2020  12:04:12,45.18,93887.55,638,54612,0,0,0,38,33.00,Temp: ,-1
Terça-29/9/2020  12:04:13,45.40,93893.50,638,54612,0,0,0,38,33.00,Temp: ,-1
Terça-29/9/2020  12:04:15,45.31,93887.17,639,54612,0,0,0,39,33.00,Temp: ,-1
Terça-29/9/2020  12:04:17,45.35,93887.14,639,54612,0,0,0,38,33.00,Temp: ,-1
Terça-29/9/2020  12:04:19,45.48,93887.24,639,54612,0,0,0,39,33.00,Temp: ,-1
Terça-29/9/2020  12:04:20,45.45,93890.32,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:22,45.38,93890.78,638,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:24,45.49,93884.11,639,54612,0,0,0,38,31.00,Temp: ,-1
Terça-29/9/2020  12:04:25,45.28,93890.07,638,54612,0,0,0,39,31.00,Temp: ,-1
Terça-29/9/2020  12:04:27,44.99,93884.92,639,54612,0,0,0,39,31.00,Temp: ,-1
Terça-29/9/2020  12:04:29,44.89,93894.25,638,54612,0,0,0,39,31.00,Temp: ,-1
Terça-29/9/2020  12:04:31,45.05,93889.21,638,54612,0,0,0,39,31.00,Temp: ,-1
Terça-29/9/2020  12:04:32,45.18,93893.39,638,54612,0,0,0,38,31.00,Temp: ,-1
Terça-29/9/2020  12:04:34,45.13,93894.61,638,54612,0,0,0,37,32.00,Temp: ,-1
Terça-29/9/2020  12:04:36,45.19,93891.47,638,54612,0,0,0,37,32.00,Temp: ,-1
Terça-29/9/2020  12:04:37,44.98,93894.39,638,54612,0,0,0,38,32.00,Temp: ,0.62
Terça-29/9/2020  12:04:39,45.29,93895.59,638,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:41,45.07,93894.75,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:43,44.67,93890.27,638,54612,0,0,0,37,32.00,Temp: ,-1
Terça-29/9/2020  12:04:44,44.25,93894.14,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:46,44.05,93888.02,638,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:48,44.31,93892.44,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:49,44.55,93888.86,638,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:51,44.59,93884.96,639,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:53,44.73,93889.19,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:55,44.81,93890.38,638,54612,0,0,0,39,32.00,Temp: ,-1
Terça-29/9/2020  12:04:56,44.40,93891.77,638,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:04:58,44.07,93903.39,637,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:05:00,42.42,93906.03,637,54612,0,0,0,38,32.00,Temp: ,-1
Terça-29/9/2020  12:05:01,41.27,93911.27,637,54612,1,0,0,36,32.00,Temp: ,-1
Terça-29/9/2020  12:05:03,40.30,93911.94,636,54612,0,0,0,35,32.00,Temp: ,-1
Terça-29/9/2020  12:05:05,39.60,93913.97,636,54612,1,0,0,36,33.00,Temp: ,-1
Terça-29/9/2020  12:05:07,38.87,93894.55,638,54612,0,0,0,36,33.00,Temp: ,-1
Terça-29/9/2020  12:05:08,38.30,93911.02,636,54612,1,0,0,36,35.00,Temp: ,0.62
Terça-29/9/2020  12:05:10,37.60,93921.10,636,54612,0,0,0,36,35.00,Temp: ,-1
Terça-29/9/2020  12:05:12,36.86,93927.16,636,54612,2,0,0,35,35.00,Temp: ,-1
Terça-29/9/2020  12:05:14,36.34,93914.07,636,54612,4,0,0,35,35.00,Temp: ,-1
Terça-29/9/2020  12:05:15,35.82,93899.37,637,54612,2,0,0,33,36.00,Temp: ,-1
Terça-29/9/2020  12:05:17,35.25,93843.13,642,54612,1,0,0,35,36.00,Temp: ,-1
Terça-29/9/2020  12:05:19,34.97,93775.83,648,54612,1,0,0,35,37.00,Temp: ,-1
Terça-29/9/2020  12:05:20,34.86,93717.36,654,54612,1,0,0,34,37.00,Temp: ,-1
Terça-29/9/2020  12:05:22,34.90,93710.41,654,54612,2,0,0,33,38.00,Temp: ,-1
Terça-29/9/2020  12:05:24,34.98,93715.69,654,54612,2,0,0,34,38.00,Temp: ,-1
Terça-29/9/2020  12:05:26,35.21,93708.33,654,54612,3,0,0,34,38.00,Temp: ,-1
Terça-29/9/2020  12:05:27,35.23,93699.96,655,54612,2,0,0,34,38.00,Temp: ,-1
Terça-29/9/2020  12:05:29,35.27,93714.80,654,54612,2,0,0,34,40.00,Temp: ,-1
Terça-29/9/2020  12:05:31,35.29,93704.46,655,54612,2,0,0,35,40.00,Temp: ,-1
Terça-29/9/2020  12:05:32,35.14,93702.78,655,54612,3,0,0,35,40.00,Temp: ,-1
Terça-29/9/2020  12:05:34,34.98,93715.00,654,54612,2,0,0,34,40.00,Temp: ,-1
Terça-29/9/2020  12:05:36,34.92,93702.71,655,54612,1,0,0,34,41.00,Temp: ,-1
Terça-29/9/2020  12:05:38,34.48,93698.55,655,54612,2,0,0,33,41.00,Temp: ,-1
Terça-29/9/2020  12:05:39,33.59,93729.03,653,15911,3,0,0,34,42.00,Temp: ,0.62
Terça-29/9/2020  12:05:41,32.92,93718.47,653,15865,5,0,0,34,42.00,Temp: ,-1
Terça-29/9/2020  12:05:43,32.42,93670.99,658,15134,4,0,0,33,42.00,Temp: ,-1
Terça-29/9/2020  12:05:44,31.97,93688.57,656,14818,5,0,0,34,42.00,Temp: ,-1
Terça-29/9/2020  12:05:46,31.51,93688.67,656,54612,5,0,0,34,43.00,Temp: ,-1
Terça-29/9/2020  12:05:48,31.14,93647.36,660,11978,4,0,0,33,43.00,Temp: ,-1
Terça-29/9/2020  12:05:50,30.82,93670.75,658,11874,4,0,0,34,44.00,Temp: ,-1
Terça-29/9/2020  12:05:51,30.76,93656.64,659,14870,3,0,0,34,44.00,Temp: ,-1
Terça-29/9/2020  12:05:53,30.74,93651.42,659,54612,5,0,0,34,46.00,Temp: ,-1
Terça-29/9/2020  12:05:55,30.36,93666.32,658,13736,6,0,0,33,46.00,Temp: ,-1
Terça-29/9/2020  12:05:56,30.11,93648.48,660,14424,5,0,0,34,46.00,Temp: ,-1
Terça-29/9/2020  12:05:58,29.78,93656.50,659,13916,7,0,0,32,46.00,Temp: ,-1
Terça-29/9/2020  12:06:00,29.74,93634.58,661,13789,3,0,0,33,47.00,Temp: ,-1
Terça-29/9/2020  12:06:02,29.60,93630.27,661,13717,4,0,0,34,47.00,Temp: ,-1
Terça-29/9/2020  12:06:03,29.55,93655.94,659,54612,5,0,0,33,48.00,Temp: ,-1
Terça-29/9/2020  12:06:05,29.36,93628.92,661,14064,7,0,0,34,48.00,Temp: ,-1
Terça-29/9/2020  12:06:07,29.23,93649.46,660,14703,6,0,0,34,49.00,Temp: ,-1
Terça-29/9/2020  12:06:08,29.09,93635.57,661,14109,7,0,0,34,49.00,Temp: ,-1
Terça-29/9/2020  12:06:10,29.00,93659.38,659,14254,5,0,0,34,50.00,Temp: ,0.62
Terça-29/9/2020  12:06:12,28.95,93659.72,659,14367,6,0,0,33,50.00,Temp: ,-1
Terça-29/9/2020  12:06:14,28.99,93637.97,661,14543,5,0,0,32,51.00,Temp: ,-1
Terça-29/9/2020  12:06:15,28.98,93627.57,662,14254,6,0,0,34,51.00,Temp: ,-1
Terça-29/9/2020  12:06:17,29.03,93644.36,660,14464,6,0,0,34,51.00,Temp: ,-1
Terça-29/9/2020  12:06:19,29.00,93650.05,660,14610,6,0,0,34,51.00,Temp: ,-1
Terça-29/9/2020  12:06:20,29.07,93637.49,661,14274,5,0,0,34,51.00,Temp: ,-1
Terça-29/9/2020  12:06:22,29.12,93657.05,659,14315,5,0,0,33,51.00,Temp: ,-1
Terça-29/9/2020  12:06:24,29.14,93648.42,660,15001,5,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:06:26,29.20,93672.05,658,14217,6,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:06:27,29.21,93672.36,658,15082,5,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:06:29,29.34,93692.00,656,48535,5,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:06:31,29.43,93684.28,656,14489,6,0,0,34,53.00,Temp: ,-1
Terça-29/9/2020  12:06:32,29.58,93680.50,657,15417,3,0,0,34,53.00,Temp: ,-1
Terça-29/9/2020  12:06:34,29.63,93700.02,655,15754,3,0,0,34,53.00,Temp: ,-1
Terça-29/9/2020  12:06:36,29.69,93720.38,653,14828,4,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:06:38,29.69,93743.08,651,14866,5,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:06:39,29.80,93754.64,650,15080,3,0,0,36,53.00,Temp: ,-1
Terça-29/9/2020  12:06:41,29.95,93808.72,645,15718,5,0,0,34,53.00,Temp: ,0.62
Terça-29/9/2020  12:06:43,29.97,93794.85,647,12301,4,0,0,35,53.00,Temp: ,-1
Terça-29/9/2020  12:06:44,30.20,93808.38,645,15113,6,0,0,35,54.00,Temp: ,-1
Terça-29/9/2020  12:06:46,30.29,93858.46,641,14367,4,0,0,35,54.00,Temp: ,-1
Terça-29/9/2020  12:06:48,30.40,93854.96,641,54612,6,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:06:50,30.48,93843.35,642,14433,8,0,0,35,53.00,Temp: ,-1
Terça-29/9/2020  12:06:51,30.60,93847.89,642,11082,8,0,0,35,53.00,Temp: ,-1
Terça-29/9/2020  12:06:53,30.47,93842.54,642,14836,6,0,0,34,53.00,Temp: ,-1
Terça-29/9/2020  12:06:55,30.36,93863.56,641,13817,7,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:06:56,30.24,93847.48,642,14748,7,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:06:58,30.48,93842.78,642,13366,7,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:07:00,30.61,93860.75,641,14959,8,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:07:02,30.73,93869.46,640,13844,6,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:07:03,30.51,93897.86,638,11744,6,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:07:05,30.75,93888.05,638,13918,6,0,0,35,51.00,Temp: ,-1
Terça-29/9/2020  12:07:07,30.87,93914.29,636,13456,7,0,0,35,51.00,Temp: ,-1
Terça-29/9/2020  12:07:08,30.82,93906.96,637,13439,7,0,0,35,51.00,Temp: ,-1
Terça-29/9/2020  12:07:10,30.88,93902.88,637,11971,5,0,0,36,51.00,Temp: ,-1
Terça-29/9/2020  12:07:12,30.92,93913.03,636,12340,6,0,0,35,51.00,Temp: ,0.62
Terça-29/9/2020  12:07:14,30.97,93890.46,638,10638,7,1,0,34,51.00,Temp: ,-1
Terça-29/9/2020  12:07:15,31.03,93915.11,636,11359,8,0,0,35,50.00,Temp: ,-1
Terça-29/9/2020  12:07:17,31.19,93945.10,634,11685,6,0,0,35,50.00,Temp: ,-1
Terça-29/9/2020  12:07:19,31.34,93922.66,635,11224,5,0,0,36,50.00,Temp: ,-1
Terça-29/9/2020  12:07:20,31.44,93897.82,638,10977,3,0,0,36,50.00,Temp: ,-1
Terça-29/9/2020  12:07:22,31.59,93896.61,638,11241,3,0,0,34,50.00,Temp: ,-1
Terça-29/9/2020  12:07:24,31.71,93899.32,637,11234,9,0,0,36,50.00,Temp: ,-1
Terça-29/9/2020  12:07:26,31.83,93895.22,638,11250,5,0,0,36,50.00,Temp: ,-1
Terça-29/9/2020  12:07:27,31.96,93897.27,638,11027,3,0,0,36,50.00,Temp: ,-1
Terça-29/9/2020  12:07:29,32.07,93896.82,638,9636,4,0,0,35,49.00,Temp: ,-1
Terça-29/9/2020  12:07:31,32.18,93894.28,638,10295,4,0,0,37,49.00,Temp: ,-1
Terça-29/9/2020  12:07:33,32.28,93896.07,638,10133,4,0,0,36,49.00,Temp: ,-1
Terça-29/9/2020  12:07:34,32.36,93897.85,638,9447,3,0,0,35,49.00,Temp: ,-1
Terça-29/9/2020  12:07:36,32.46,93900.39,637,9872,3,0,0,36,48.00,Temp: ,-1
