tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Segunda-27/9/2020  12:02:53,34.20,93206.47,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:55,34.23,93211.21,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:56,34.26,93209.86,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:58,34.28,93213.08,698,19,21,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:00,34.29,93210.93,698,19,19,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:01,34.29,93213.36,698,19,20,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:03,34.32,93213.19,698,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:05,34.33,93206.50,699,19,19,0,0,61,33.00,Temp: ,0.62
Segunda-27/9/2020  12:03:07,34.32,93206.99,699,19,20,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:08,34.34,93206.91,699,19,18,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:10,34.37,93210.78,699,19,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:12,34.39,93210.58,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:13,34.40,93209.08,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:15,34.42,93205.96,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:17,34.45,93215.82,698,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:19,34.40,93207.17,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:20,34.41,93207.07,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:22,34.41,93208.46,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:24,34.42,93210.25,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:26,34.42,93206.10,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:27,34.43,93206.38,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:29,34.47,93209.01,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:31,34.50,93208.52,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:32,34.52,93207.16,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:34,34.53,93210.00,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:36,34.53,93206.71,699,19,18,0,0,60,33.00,Temp: ,0.62
Segunda-27/9/2020  12:03:38,34.56,93212.42,698,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:39,34.54,93209.38,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:41,34.60,93215.27,698,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:43,34.58,93207.89,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:44,34.62,93208.12,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:46,34.61,93201.50,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:48,34.65,93203.46,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:50,34.65,93210.09,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:51,34.68,93208.73,699,19,18,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:53,34.70,93206.75,699,19,19,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:55,34.73,93211.99,698,19,19,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:56,34.76,93208.72,699,19,17,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:58,34.78,93209.89,699,19,18,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:00,34.80,93208.64,699,19,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:02,34.79,93207.71,699,19,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:03,34.80,93208.15,699,106,18,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:05,34.82,93208.97,699,68,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:07,34.84,93209.97,698,43,19,0,0,60,32.00,Temp: ,0.62
Segunda-27/9/2020  12:04:08,34.84,93212.37,698,49,20,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:10,34.83,93208.87,699,99,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:12,34.82,93211.23,699,99,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:14,34.80,93209.02,699,35,19,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:15,34.78,93211.32,699,34,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:17,34.74,93211.01,699,104,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:19,34.70,93205.71,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:20,34.69,93211.57,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:22,34.69,93207.93,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:24,34.69,93208.97,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:26,34.69,93205.33,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:27,34.72,93205.71,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:29,34.76,93212.36,698,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:31,34.78,93210.75,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:32,34.77,93206.53,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:34,34.80,93206.91,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:36,34.83,93209.05,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:38,34.85,93210.22,699,18,19,0,0,59,32.00,Temp: ,0.62
Segunda-27/9/2020  12:04:39,34.87,93208.07,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:41,34.86,93206.47,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:43,34.89,93206.81,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:44,34.92,93209.16,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:46,34.92,93206.89,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:48,34.90,93202.88,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:50,34.88,93205.53,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:51,34.88,93205.35,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:53,34.89,93207.16,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:55,34.93,93208.84,699,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:56,34.95,93204.28,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:04:58,34.97,93205.43,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:00,35.00,93210.52,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:02,35.03,93212.97,698,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:03,35.03,93208.95,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:05,35.01,93205.17,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:07,35.03,93206.72,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:08,35.02,93206.97,699,18,19,0,0,59,32.00,Temp: ,0.62
Segunda-27/9/2020  12:05:10,35.04,93206.58,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:12,35.06,93208.10,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:14,35.07,93205.92,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:15,35.06,93205.33,699,18,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:17,35.09,93207.96,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:19,35.10,93199.87,700,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:20,35.11,93202.19,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:22,35.12,93208.33,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:24,35.11,93202.92,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:26,35.11,93201.14,699,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:27,35.09,93197.55,700,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:29,35.12,93197.42,700,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:31,35.12,93206.16,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:32,35.15,93202.49,700,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:34,35.17,93201.19,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:36,35.19,93200.80,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:38,35.23,93206.24,699,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:39,35.20,93201.25,699,17,17,0,0,59,32.00,Temp: ,0.62
Segunda-27/9/2020  12:05:41,35.21,93200.93,699,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:43,35.19,93198.20,700,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:44,35.21,93196.94,700,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:46,35.24,93199.71,700,17,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:48,35.24,93199.19,700,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:50,35.24,93198.67,700,17,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:51,35.26,93199.00,700,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:53,35.30,93200.30,700,17,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:55,35.31,93194.81,700,17,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:56,35.35,93204.82,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:05:58,35.34,93203.69,699,18,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:00,35.30,93200.30,699,18,19,0,0,59,32.00,Temp: ,-1
